tempo,referencia,velocidade,pwm,erro
0,0,0.0033,-0.066,-0.0033
0.01,0,0.00657,-0.1314,-0.00657
0.02,0,0.008613,-0.17226,-0.008613
0.03,0,0.0042517,-0.085034,-0.0042517
0.04,0,0.00812653,-0.162531,-0.00812653
0.05,0,0.00581388,-0.116278,-0.00581388
0.06,0,0.00883249,-0.17665,-0.00883249
0.07,0,0.0121492,-0.242985,-0.0121492
0.08,0,0.0108343,-0.216686,-0.0108343
0.09,0,0.00685088,-0.137018,-0.00685088
0.1,0,0.00736579,-0.147316,-0.00736579
0.11,0,0.00432921,-0.0865843,-0.00432921
0.12,0,0.00789629,-0.157926,-0.00789629
0.13,0,0.00800666,-0.160133,-0.00800666
0.14,0,0.008506,-0.17012,-0.008506
0.15,0,0.0052554,-0.105108,-0.0052554
0.16,0,0.00372986,-0.0745972,-0.00372986
0.17,0,0.000956872,-0.0191374,-0.000956872
0.18,0,0.00306118,-0.0612237,-0.00306118
0.19,0,0.00135507,-0.0271013,-0.00135507
0.2,0,-0.00268044,0.0536088,0.00268044
0.21,0,-0.000612397,0.0122479,0.000612397
0.22,0,0.00114884,-0.0229769,-0.00114884
0.23,0,-0.00106604,0.0213208,0.00106604
0.24,0,0.00224056,-0.0448113,-0.00224056
0.25,0,1.65063e-05,-0.000330126,-1.65063e-05
0.26,0,0.00121486,-0.0242971,-0.00121486
0.27,0,-0.00160663,0.0321326,0.00160663
0.28,0,0.000254033,-0.00508066,-0.000254033
0.29,0,-0.00127137,0.0254274,0.00127137
0.3,0,-0.00324423,0.0648847,0.00324423
0.31,0,-0.00771981,0.154396,0.00771981
0.32,0,-0.00974783,0.194957,0.00974783
0.33,0,-0.00797305,0.159461,0.00797305
0.34,0,-0.00527574,0.105515,0.00527574
0.35,0,-0.00304817,0.0609634,0.00304817
0.36,0,0.00155665,-0.031133,-0.00155665
0.37,0,0.00200098,-0.0400197,-0.00200098
0.38,0,-0.00209911,0.0419823,0.00209911
0.39,0,-0.0026892,0.0537841,0.0026892
0.4,0,-0.00452028,0.0904057,0.00452028
0.41,0,-0.00176825,0.0353651,0.00176825
0.42,0,-0.00449143,0.0898286,0.00449143
0.43,0,-0.00714229,0.142846,0.00714229
0.44,0,-0.00302806,0.0605612,0.00302806
0.45,0,-0.00402525,0.080505,0.00402525
0.46,0,0.00117727,-0.0235455,-0.00117727
0.47,0,-0.00154045,0.0308091,0.00154045
0.48,0,-0.00488641,0.0977282,0.00488641
0.49,0,-0.00239777,0.0479553,0.00239777
0.5,0,-0.00585799,0.11716,0.00585799
0.51,0,-0.00767219,0.153444,0.00767219
0.52,0,-0.00280497,0.0560994,0.00280497
